 	A	-	D	P	L	J	U	N	H	F	G	C	S	T	O	I	E	Q	M	V	K
2268926.099999992	0	0	0	5	1	0	0	0	1	0	2	5	4	0	0	0	2	0	0	2	3
2280930.999999992	0	0	0	2	5	3	1	0	0	1	4	2	3	0	0	0	2	0	1	1	2
2292935.899999992	0	2	0	1	4	3	1	0	0	2	2	5	3	0	1	0	1	0	1	0	1
2304940.799999992	0	2	1	2	0	1	0	0	1	2	1	5	0	0	1	1	1	1	0	1	2
2316945.699999992	0	0	1	2	3	2	0	0	1	3	1	0	1	0	1	1	1	1	0	2	4
2328950.5999999917	0	0	0	1	4	3	0	0	0	2	1	0	3	0	2	0	0	0	2	1	4
2340955.4999999916	0	0	0	2	1	2	0	0	0	2	1	0	8	0	1	0	1	0	3	0	1
2352960.3999999915	0	0	0	1	2	0	2	0	2	2	0	4	6	0	0	0	3	0	2	0	2
2364965.2999999914	0	3	0	1	6	3	2	0	2	1	0	5	1	0	0	0	2	0	1	0	4
2376970.1999999913	0	3	0	2	5	3	1	0	2	1	1	1	3	1	0	2	3	0	0	0	2
2388975.0999999912	0	2	0	4	2	1	1	0	2	0	1	1	2	1	1	2	3	0	0	0	5
2400979.999999991	0	2	0	3	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5
2412984.899999991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
